,0,1,2,3,4,,,,
Positive Correlation,Big Man Skills,Scoring Skills,2K Stats,Scrappiness,3&D,,,,
,Standing dunk,Offensive consistency,Driving dunk,Height,Open shot 3pt,,,,
,Offensive rebound,Contested shot mid,Open shot 3pt,Overall durability,Contested shot 3pt,,,,
,Boxout,Post fadeaway,Vertical,Defensive rebound,Defensive consistency,,,,
,Post hook,Contested shot 3pt,Contested shot 3pt,Free throw,On-ball defense IQ,,,,
,Low post defense IQ,Open shot mid,Open shot mid,Hustle,Pick & roll defense IQ,,,,
,Post control,Post control,Post fadeaway,Stamina,Help defense IQ,,,,
,Block,Open shot 3pt,Contact dunk,Passing IQ,Low post defense IQ,,,,
,Defensive rebound,Post hook,Standing dunk,Block,Shot contest,,,,
,Strength,Shot IQ,Height,Standing layup,Reaction time,,,,
,Post fadeaway,Off dribble shot mid,Contested shot mid,Offensive rebound,Pass perception,,,,
,Driving dunk,Free throw,Free throw,Shot close,Height,,,,
,Contact dunk,Shot close,Post control,Steal,Lateral quickness,,,,
,Help defense IQ,Off dribble shot 3pt,Overall durability,Passing vision,Off dribble shot 3pt,,,,
,Shot contest,Passing vision,Off dribble shot 3pt,Open shot mid,Overall durability,,,,
,Defensive consistency,Draw foul,Speed,Boxout,Open shot mid,,,,
,Height,,Acceleration,Passing accuracy,Free throw,,,,
,,,Post hook,,,,,,
,,,Off dribble shot mid,,,,,,
Negative Correlation,Guard Skills,Athleticism,Awareness,?,?,,,,
,Off dribble shot 3pt,Driving dunk,Defensive consistency,Driving dunk,Passing vision,,,,
,Speed with ball,Vertical,Passing vision,Defensive consistency,Draw foul,,,,
,Ball control,Lateral quickness,Passing accuracy,Offensive consistency,Offensive consistency,,,,
,Contested shot 3pt,Acceleration,Pass perception,Contact dunk,Driving dunk,,,,
,Off dribble shot mid,Speed,Help defense IQ,Lateral quickness,Passing accuracy,,,,
,Open shot 3pt,Speed with ball,Pick & roll defense IQ,Post fadeaway,Speed with ball,,,,
,Passing accuracy,Contact dunk,On-ball defense IQ,Post control,Acceleration,,,,
,Acceleration,Hustle,Passing IQ,Pass perception,Driving layup,,,,
,Passing vision,On-ball defense IQ,Shot contest,On-ball defense IQ,Contact dunk,,,,
,Lateral quickness,Shot contest,Offensive consistency,Pick & roll defense IQ,Speed,,,,
,Contested shot mid,Reaction time,Reaction time,Off dribble shot mid,Passing IQ,,,,
,Speed,Pass perception,Draw foul,Contested shot 3pt,Offensive rebound,,,,
,Passing IQ,Ball control,Shot IQ,Contested shot mid,Vertical,,,,
,Driving layup,Steal,,Draw foul,Standing dunk,,,,
,Open shot mid,Overall durability,,Low post defense IQ,Ball control,,,,
,Free throw,Pick & roll defense IQ,,Help defense IQ,Post control,,,,
,Vertical,Block,,Off dribble shot 3pt,Post hook,,,,
,,Help defense IQ,,,Shot IQ,,,,
,,Height,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,19
,,,,,,,,Passing vision,18
,,,,,,,,Draw foul,17
,,,,,,,,Offensive consistency,16
,,,,,,,,Driving dunk,15
,,,,,,,,Passing accuracy,14
,,,,,,,,Speed with ball,13
,,,,,,,,Acceleration,12
,,,,,,,,Driving layup,11
,,,,,,,,Contact dunk,10
,,,,,,,,Speed,9
,,,,,,,,Passing IQ,8
,,,,,,,,Offensive rebound,7
,,,,,,,,Vertical,6
,,,,,,,,Standing dunk,5
,,,,,,,,Ball control,4
,,,,,,,,Post control,3
,,,,,,,,Post hook,2
,,,,,,,,Shot IQ,1